ID,Name,KG,Beschreibung,Link,Wikidata ID,Wikidata Link,Benannt nach,Wikidata Person ID,Wikidata Person Link,Wikidata Person Name,Wikidata Person Geschlecht,Wikidata Person Beruf,Wikidata Person Geburtsdatum,Wikidata Person Sterbedatum
1695,Fasanweg,Pichling,Von der Rathfeldstraße etwa in ostsüdöstlicher Richtung entlang der Westbahn zur Oidener Straße verlaufend. Benannt 1958 nach der einheimischen Tierart.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1695,,,,,,,,,,
1698,Feilstraße,Waldegg,Gegenüber dem Objekt Ramsauerstraße 117 etwa in südwestlicher Richtung zur Landwiedstraße verlaufend. Benannt 1965 nach Bürgermeister Franz Ignaz von Feil (gest. 1818).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1698,,,Franz Ignaz von Feil,,,,,,,
1701,Feldweg,Katzbach,"Nach dem Objekt Pulvermühlstraße 12 etwa in ostnordöstlicher Richtung zur Baumgärtelstraße verlaufend. Benannt 1939, inoffiziell schon vorher so genannt.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1701,,,,,,,,,,
3402,Fellingerstiege,Urfahr,Vor dem Objekt Riesenhofstraße 14 etwa in nordwestlicher Richtung zur Riesenwiese verlaufende Stiege. Benannt 2004 nach dem Maler und Keramiker Matthäus Fellinger (1924 - 2002).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3402,,,,,,,,,,
1702,Ferdinand-Markl-Straße,"Pöstlingberg, Katzbach","Nach dem Objekt Leonfeldner Straße 132 etwa in östlicher Richtung zur Dornacher Straße verlaufend. Benannt 1960 nach Ferdinand Markl (1898-1960), der von 1945 bis 1955 Bürgermeister von Urfahr war.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1702,,,Ferdinand Markl,,,,,,,
1703,Ferihumerstraße,Urfahr,Vom Hinsenkampplatz etwa in nordöstlicher Richtung zur Linken Brückenstraße verlaufend. Benannt 1903 nach dem Urfahrer Bürgermeister Andreas Ferihumer 1846-1901. - Betraf ursprünglich nur das Teilstück zwischen Hinsenkampplatz und Wildbergstraße. Um 1960 Verlängerung zur Linken Brückenstraße unter Auflassung des Straßenzugs Am Damm.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1703,Q106686173,https://www.wikidata.org/wiki/Q106686173,Andreas Ferihumer,,,,,,,
1705,Fichtenstraße,"Lustenau, St. Peter",Nach dem Objekt Wiener Straße 155 etwa in ostnordöstlicher Richtung zur Westbahnstraße verlaufend. Benannt 1925 nach dem an der Stelle der jetzigen Bahnanlagen gestandenen kleinen Fichtenwald.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1705,,,,,,,,,,
1706,Fiedlerstraße,Urfahr,"Von der Hauptstraße etwa in südwestlicher Richtung zum Bernaschekplatz verlaufend. Benannt 1891 nach dem Sektionschef im Ministerium für Kultus und Unterricht, Karl Fiedler (1818-1887), dem Sohn eines Webers aus Urfahr, der sich um die Schaffung des Reichsvolksschulgesetzes von 1869 verdient gemacht hatte.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1706,,,Karl Fiedler,,,,,,,
1708,Figulystraße,Linz,Von der Gärtnerstraße etwa in südwestlicher Richtung zur Waldeggstraße verlaufend. Benannt 1877 nach dem um die Errichtung der Handelskammer verdienten Landtags- und Reichsratsabgeordneten Ignaz Figuly von Szep (1807-1875).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1708,Q106635002,https://www.wikidata.org/wiki/Q106635002,Ignaz Figuly von Szep,Q1657468,https://www.wikidata.org/wiki/Q1657468,Ignaz Karl Figuly,male,jurist,1807-09-02T00:00:00Z,1875-07-15T00:00:00Z
1709,Finkstraße,Urfahr,Nach dem Objekt Linke Brückenstraße 18 etwa in nordöstlicher Richtung zur Heindlstraße verlaufend. Benannt 1943 nach dem Buchhändler und Bürgermeister Vinzenz Fink (1807-1877).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1709,,,Vinzenz Fink,,,,,,,
1710,Fischdorfer Straße,Wambach,Nach dem Objekt Kremsmünsterer Straße 175 etwa in südöstlicher Richtung zum Wasserwerk Fischdorf verlaufende Sackgasse. Benannt 1958 nach der gleichnamigen Konskriptionsortschaft.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1710,,,,,,,,,,
1711,Fischerfeldstraße,Ufer,Von der Uferstraße etwa in östlicher Richtung zur Wiener Straße verlaufend. Benannt 1954 nach einer Flurbezeichnung.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1711,,,,,,,,,,
1712,Fischergasse,Urfahr,"Von der Flußgasse etwa in westlicher Richtung zur Ottensheimer Straße verlaufend. Benannt 1875 nach den alten Häusern, die zum größten Teil von Donaufischern und -flößern bewohnt waren. - Vorher Untum (Namensbezeichnung nicht geklärt).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1712,,,,,,,,,,
